IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
VSTA,46319000.0,-1660000.0,17500000.0,10.99,0.0,0.0,1960.0,0.0,2.44,2.65,0.51,5.77,1.3,1.8,0.14,-1.3,-1.8,0.9,62.1,-7.3,-9.5,0.0,8307000.0,1857000.0,3.88,9.91,0.0,-55.14,-63.75,-61.45
MTCR,8109000.0,-5020000.0,0.0,2.4,0.0,0.0,35.0,0.0,0.0,0.0,1.25,1.08,10.6,10.6,0.0,-51.3,-61.4,0.0,0.0,0.0,0.0,0.0,2637000.0,2088000.0,1.18,1.56,0.0,-67.14,0.0,-61.96
SCPS,10891000.0,-2120000.0,0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.29,0.8,0.8,0.0,-455.7,0.0,0.0,0.0,0.0,0.0,0.0,1619000.0,924000.0,1.02,0.21,0.0,-36.91,0.0,-61.99
ROOT,156000000.0,-49670000.0,25980000.0,3.06,0.0,0.0,1007.0,0.0,0.0,6.01,1.94,1.61,0.0,0.0,0.26,-33.7,-92.1,-23.4,0.0,0.0,0.0,0.0,24890000.0,6646000.0,28.71,3.09,7.31,-51.27,0.0,-62.25
GOCO,156000000.0,-3290000.0,101000000.0,1.47,0.0,0.0,3067.0,0.0,6.19,1.55,3.48,13.84,2.6,2.6,0.89,-1.6,-8.0,-8.3,79.6,-8.5,-3.3,0.0,32081000.0,7329000.0,7.29,1.89,0.0,-51.0,-61.76,-62.52
GOED,32871000.0,-1630000.0,10790000.0,5.43,0.0,0.0,102.0,0.0,3.44,3.05,0.58,7.27,0.9,1.2,0.29,-14.7,-39.1,172.0,17.4,-18.9,-15.1,0.0,10502000.0,10199000.0,7.61,0.81,0.0,-71.67,-55.98,-62.83
AI,501000000.0,-9330000.0,19510000.0,10.05,0.0,0.0,628.0,0.0,0.0,25.7,5.12,4.56,8.3,8.3,0.0,-9.5,-12.5,-5.7,75.9,-47.9,-47.8,0.0,10387000.0,8365000.0,9.71,2.49,0.0,-39.38,0.0,-62.9
SYTA,1790000.0,0.0,1196000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458000.0,308000.0,1.79,0.34,0.0,-63.83,-64.05,-63.7
BEKE,2833000000.0,41700000.0,1365000000.0,9.16,0.0,0.0,119658.0,54.59,28.91,2.08,2.4,3.78,2.5,2.5,0.01,2.6,4.2,1.8,22.7,3.8,3.1,0.0,117000000.0,87730000.0,1.88,1.47,0.0,-59.07,-51.58,-64.25
GLTO,11415000.0,-4390000.0,0.0,5.6,0.0,0.0,28.0,0.0,0.0,0.0,0.79,1.12,22.7,22.7,0.0,-30.6,-47.8,0.0,0.0,0.0,0.0,0.0,2526000.0,2238000.0,0.6,0.11,0.0,-55.56,0.0,-64.51
IKT,5980000.0,-720000.0,300000.0,3.84,0.0,0.0,3.0,0.0,0.0,19.93,0.63,1.28,25.7,25.7,0.0,-37.0,-47.9,-27.9,0.0,0.0,0.0,0.0,1224000.0,799000.0,2.1,0.19,0.0,-61.49,0.0,-64.78
JUPW,4034000.0,-1170000.0,110000.0,0.33,0.0,0.0,5.0,0.0,0.0,36.67,5.3,0.0,1.7,1.8,0.57,-238.0,-399.0,-108.3,36.1,0.0,0.0,0.0,1136000.0,574000.0,2.45,0.25,0.0,-68.41,0.0,-65.62
YGMZ,5552000.0,80000.0,1880000.0,2.07,0.0,0.0,147.0,44.49,0.0,2.95,1.68,26.44,2.4,2.4,0.38,3.3,6.2,3.6,14.8,7.5,4.2,0.0,1026000.0,704000.0,2.41,0.52,0.0,-52.98,0.0,-65.85
BLCT,13092000.0,-2340000.0,17650000.0,2.78,0.0,0.0,755.0,0.0,0.0,0.74,1.21,1.86,3.4,3.4,0.0,-16.6,-20.4,-30.8,30.8,-27.0,-13.3,0.0,3689000.0,1385000.0,1.72,1.23,0.0,-68.71,-71.56,-66.63
SPRB,18753000.0,-3960000.0,0.0,5.58,0.0,0.0,21.0,0.0,0.0,0.0,1.43,1.72,16.0,16.0,0.04,-29.4,-42.9,0.0,0.0,0.0,0.0,0.0,2333000.0,477000.0,11.13,8.64,0.0,-63.38,0.0,-67.17
YSG,371000000.0,-50910000.0,96000000.0,1.56,0.0,0.0,3936.0,0.0,0.0,3.87,3.56,5.84,4.8,5.5,0.0,-45.1,-76.5,-39.3,66.9,-47.3,-53.0,0.0,63161000.0,16097000.0,7.84,5.11,0.0,-67.69,0.0,-67.29
ATHA,42031000.0,-3900000.0,0.0,9.42,0.0,0.0,20.0,0.0,0.0,0.0,1.17,1.48,38.1,38.1,0.0,-12.2,-12.5,0.0,0.0,0.0,0.0,0.0,3722000.0,3552000.0,3.48,0.98,0.0,-45.6,0.0,-67.88
ONCR,25728000.0,-6240000.0,0.0,6.33,0.0,0.0,56.0,0.0,0.0,0.0,1.62,1.61,15.1,15.1,0.0,-36.4,-70.2,0.0,0.0,0.0,0.0,0.0,2568000.0,2513000.0,2.94,6.03,0.0,-30.88,0.0,-68.36
BDTX,37138000.0,-10520000.0,0.0,6.94,0.0,0.0,73.0,0.0,0.0,0.0,1.44,1.41,11.5,11.5,0.0,-32.9,-36.1,0.0,0.0,0.0,0.0,0.0,3618000.0,3499000.0,11.78,8.82,0.0,-63.4,-64.8,-68.89
NUZE,5010000.0,-1610000.0,170000.0,0.79,0.0,0.0,17.0,0.0,0.0,29.47,3.59,3.94,15.1,15.6,0.01,-129.2,-147.5,-141.4,-1.8,0.0,0.0,0.0,1782000.0,1150000.0,0.71,1.01,0.0,-48.64,-82.99,-73.21
INTZ,8019000.0,-1000000.0,670000.0,0.69,0.0,0.0,63.0,0.0,0.0,11.97,6.48,6.12,5.5,5.5,0.05,-84.3,-134.4,-40.0,61.2,0.0,0.0,0.0,1754000.0,892000.0,11.65,0.61,4.88,-78.4,-61.89,-74.63
FRLN,15052000.0,0.0,0.0,5.2,0.0,0.0,236.0,0.0,0.0,0.0,0.78,0.91,12.2,12.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568000.0,3470000.0,0.27,0.22,0.0,-72.28,-75.06,-77.93
IMRA,11225000.0,-4740000.0,0.0,3.67,0.0,0.0,27.0,0.0,0.0,0.0,1.24,1.68,10.2,10.2,0.0,-54.9,-59.3,0.0,0.0,0.0,0.0,0.0,1772000.0,624000.0,1.82,0.44,0.0,-53.62,-80.06,-79.37
PROG,11982000.0,-18150000.0,4080000.0,-2.18,0.0,0.0,511.0,0.0,0.0,2.94,0.0,1.82,0.0,1.3,0.0,-178.6,215.8,-285.1,-10.2,0.0,0.0,0.0,6394000.0,2098000.0,16.13,0.6,0.0,-74.52,-87.98,-79.85
GRAY,9663000.0,-3470000.0,0.0,4.02,0.0,0.0,31.0,0.0,0.0,0.0,1.01,1.13,14.1,14.1,0.0,-44.3,-90.3,0.0,0.0,0.0,0.0,0.0,2102000.0,1908000.0,6.07,0.58,4.75,-43.61,0.0,-86.01
WNW,12875000.0,0.0,821000.0,0.0,0.0,0.0,55.0,0.0,0.0,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.74,0.0,-53.22,0.0,-86.28
SGTX,21293000.0,-6080000.0,1290000.0,4.1,0.0,0.0,99.0,0.0,0.0,16.51,1.58,1.19,5.3,5.3,0.0,0.0,0.0,-31.9,0.0,0.0,0.0,0.0,3149000.0,2505000.0,3.09,2.65,0.0,-76.31,0.0,-86.53
YQ,25673000.0,0.0,15490000.0,1.7,0.0,0.0,3156.0,0.0,0.0,1.66,0.78,0.58,2.5,2.5,0.0,0.0,0.0,-64.6,60.7,0.0,0.0,0.0,18787000.0,5496000.0,2.34,0.47,0.0,-89.0,0.0,-89.7
