IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
LNFA,21475000.0,0.0,0.0,6.97,0.0,0.0,2.0,0.0,0.0,0.0,1.43,165.2,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0,1294000.0,0.01,0.05,0.0,0.61,0.0,-1.87
OCA,25429000.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,508.58,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581000.0,1549000.0,3.83,9.58,0.0,-0.7,0.0,-1.89
MUDS,38977000.0,0.0,0.0,4.43,0.0,0.0,4.0,0.0,0.0,0.0,2.23,1299.22,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3953000.0,2372000.0,6.73,1.05,0.0,-0.65,0.0,-1.89
MAAC,51136000.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,1.5,426.13,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5134000.0,3080000.0,1.32,1.94,0.0,1.01,0.0,-1.97
DWIN,25225000.0,0.0,0.0,33.23,0.0,0.0,0.0,0.0,0.0,0.0,0.29,210.21,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566000.0,0.0,0.0,1.29,0.0,-4.2,0.0,-2.0
ACKIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,-1.96,0.0,-2.06
CPSR,34253000.0,-470000.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,1.39,428.17,0.4,0.4,0.0,-1.7,-1.9,0.0,0.0,0.0,0.0,0.0,3450000.0,2070000.0,1.11,2.82,0.0,-0.5,1.17,-2.07
DSAC,21370000.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2188000.0,1750000.0,0.12,0.51,0.0,-2.6,0.0,-2.21
CTAC,33273000.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,1.43,475.33,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3322000.0,1959000.0,0.71,1.02,0.0,-2.16,0.0,-2.25
YAC,42826000.0,-120000.0,0.0,7.08,0.0,0.0,30.0,0.0,0.0,0.0,1.39,856.52,0.2,0.2,0.0,-0.3,-0.4,0.0,0.0,0.0,0.0,0.0,4312000.0,2588000.0,0.03,0.07,0.0,-1.4,0.0,-2.28
VHAQ,25059000.0,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,1.31,227.81,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516000.0,2012000.0,0.04,0.29,0.0,-1.19,0.0,-2.35
XPEV,3668000000.0,-74260000.0,179000000.0,6.29,0.0,0.0,5084.0,0.0,0.0,20.49,6.64,8.03,3.6,3.9,0.05,-11.6,-15.9,-11.8,10.5,-45.1,-41.5,0.0,79619000.0,37815000.0,3.46,0.97,0.0,39.37,119.5,-2.47
PCVX,140000000.0,-8670000.0,0.0,6.15,0.0,0.0,58.0,0.0,0.0,0.0,4.21,4.8,7.4,7.4,0.0,-22.6,-25.6,0.0,0.0,0.0,0.0,0.0,5151000.0,4354000.0,6.53,13.3,0.0,4.56,-33.33,-2.52
KWAC,14538000.0,0.0,0.0,7.05,0.0,0.0,2.0,0.0,0.0,0.0,1.42,121.15,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475000.0,840000.0,0.57,1.0,0.0,0.0,0.0,-2.52
TACA,28521000.0,0.0,0.0,7.16,0.0,0.0,1.0,0.0,0.0,0.0,1.38,203.72,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,1725000.0,0.31,1.6,0.0,-1.49,0.0,-2.56
BIGC,447000000.0,-4310000.0,17860000.0,2.99,0.0,0.0,813.0,0.0,0.0,25.01,20.89,21.97,5.7,5.7,0.0,-16.5,-21.5,-17.9,78.6,-25.0,-24.1,0.0,7062000.0,5891000.0,13.22,6.46,74.64,4.57,-41.61,-2.62
CAS,28347000.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,1.36,257.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,1695000.0,0.04,0.14,2.5,-3.24,0.0,-2.76
FTCV,35351000.0,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1178.38,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3419000.0,2500000.0,8.25,3.55,0.0,1.27,0.0,-2.81
ABCM,475000000.0,0.0,26930000.0,2.87,0.0,0.0,1600.0,0.0,0.0,17.63,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22678000.0,18747000.0,0.03,0.39,0.0,0.62,0.0,-2.83
ALTU,36680000.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1833.98,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750000.0,2250000.0,2.38,5.28,0.0,-6.12,0.0,-2.87
