0,1,2,3,4,5,6
"Saul Centers, Inc.
",BFS,"Real Estate
","Retail REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BFS&amp;action=getcompany"" rel=""nofollow""view/a
","0000907254
",S&P600
"a href=""/wiki/B%26G_Foods"" title=""B&amp;G Foods""B&amp;G Foods, Inc./a
",BGS,"Consumer Staples
","Packaged Foods &amp; Meats
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BGS&amp;action=getcompany"" rel=""nofollow""view/a
","0001278027
",S&P600
"a href=""/wiki/Benchmark_Electronics"" title=""Benchmark Electronics"" Benchmark Electronics, Inc./a
",BHE,"Information Technology
","Electronic Manufacturing Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BHE&amp;action=getcompany"" rel=""nofollow""view/a
","0000863436
",S&P600
"a href=""/wiki/Berkshire_Bank"" title=""Berkshire Bank""Berkshire Hills Bancorp, Inc./a
",BHLB,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BHLB&amp;action=getcompany"" rel=""nofollow""view/a
","0001108134
",S&P600
"a href=""/wiki/Big_Lots"" title=""Big Lots""Big Lots/a
",BIG,"Consumer Discretionary
","General Merchandise Stores
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BIG&amp;action=getcompany"" rel=""nofollow""view/a
","0000768835
",S&P600
"a class=""mw-redirect"" href=""/wiki/BJ%E2%80%99s_Restaurants"" title=""BJ’s Restaurants"" BJ's Restaurants, Inc./a
",BJRI,"Consumer Discretionary
","Restaurants
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BJRI&amp;action=getcompany"" rel=""nofollow""view/a
","0001013488
",S&P600
"a href=""/wiki/Buckle_(clothing_retailer)"" title=""Buckle (clothing retailer)"" The Buckle, Inc./a
",BKE,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BKE&amp;action=getcompany"" rel=""nofollow""view/a
","0000885245
",S&P600
"a href=""/wiki/BankUnited"" title=""BankUnited"" BankUnited, Inc./a
",BKU,"Financials
","Thrifts &amp; Mortgage Finance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BKU&amp;action=getcompany"" rel=""nofollow""view/a
","0001504008
",S&P600
"BioLife Solutions, Inc.
",BLFS,"Health Care
","Health Care Supplies
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BLFS&amp;action=getcompany"" rel=""nofollow""view/a
","0000834365
",S&P600
"a href=""/wiki/Bloomin%27_Brands"" title=""Bloomin' Brands"" Bloomin' Brands, Inc./a
",BLMN,"Consumer Discretionary
","Restaurants
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BLMN&amp;action=getcompany"" rel=""nofollow""view/a
","0001546417
",S&P600
"Badger Meter, Inc.
",BMI,"Information Technology
","Electronic Equipment &amp; Instruments
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BMI&amp;action=getcompany"" rel=""nofollow""view/a
","0000009092
",S&P600
"a href=""/wiki/Barnes_%26_Noble#Barnes_&amp;_Noble_Education"" title=""Barnes &amp; Noble"" Barnes &amp; Noble Education, Inc./a
",BNED,"Consumer Discretionary
","Specialty Stores
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BNED&amp;action=getcompany"" rel=""nofollow""view/a
","0001634117
",S&P600
"DMC Global, Inc.
",BOOM,"Energy
","Oil &amp; Gas Equipment &amp; Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BOOM&amp;action=getcompany"" rel=""nofollow""view/a
","0000034067
",S&P600
"Boot Barn Holdings, Inc.
",BOOT,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BOOT&amp;action=getcompany"" rel=""nofollow""view/a
","0001610250
",S&P600
"a href=""/wiki/Brady_Corporation"" title=""Brady Corporation""Brady Corporation/a
",BRC,"Industrials
","Commercial Printing
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BRC&amp;action=getcompany"" rel=""nofollow""view/a
","0000746598
",S&P600
