Ticker,Index,MarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEG,PriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,
[['ANGO'], '-', '1.04B', '-31.50M', '291.00M', '11.41', '1.18', '-', '-', '800', '2.50', '-', '165.42', '-', '3.56', '2.22', '21.51', '54.85', '1.60', '2.40', '0.05', '0.05', '-11.87%', '-10.11%', '6.82%', '-5.40%', '-7.00%', '-6.70%', '53.90%', '-12.10%', '-10.80%', '-', '38.52M', '37.10M', '2.03%', '3.00', '30.00', '-19.31%', '160.65%', '250.98K', '34,200', '18.71%', '170.99%', '65.10%'],
[['ANIK'], '-', '572.58M', '-12.70M', '136.80M', '19.93', '6.74', '-', '-', '277', '1.70', '-', '13226.67', '-', '4.19', '1.99', '5.89', '84.20', '3.30', '4.30', '0.00', '0.00', '-4.18%', '-3.96%', '-2.83%', '-3.40%', '-4.50%', '-8.70%', '55.50%', '-11.30%', '-9.30%', '-', '14.39M', '14.30M', '8.42%', '15.46', '49.67', '-18.34%', '23.28%', '77.90K', '6,373', '8.86%', '8.15%', '-12.33%'],
[['ANIP'], '-', '357.08M', '-17.20M', '213.40M', '15.88', '1.97', '-', '-', '369', '2.50', '-', '7.47', '-', '1.67', '1.82', '14.69', '44.08', '1.40', '2.10', '1.07', '0.99', '0.65%', '-6.31%', '-9.88%', '-3.70%', '-8.80%', '-3.30%', '59.20%', '-4.40%', '-8.10%', '-', '12.09M', '9.89M', '4.82%', '7.45', '45.00', '-28.15%', '22.04%', '64.03K', '5,380', '-15.85%', '-3.18%', '-0.52%'],
[['APEI'], '-', '486.78M', '18.40M', '331.60M', '21.58', '17.32', '-', '-', '1790', '1.70', '22.83', '14.84', '1.52', '1.47', '1.23', '1.54', '28.80', '6.50', '6.50', '0.00', '0.00', '-1.69%', '-5.64%', '-13.45%', '4.40%', '5.20%', '5.80%', '62.30%', '7.70%', '5.50%', '0.00%', '18.68M', '18.19M', '2.52%', '4.05', '36.60', '-33.71%', '4.97%', '113.36K', '11,579', '-31.48%', '-4.83%', '-12.73%'],
[['APOG'], '-', '1.03B', '23.40M', '1.27B', '19.59', '1.43', '0.80', '1.98%', '6100', '2.60', '47.42', '14.20', '3.16', '0.82', '2.06', '28.34', '12.51', '1.40', '1.80', '0.33', '0.33', '-5.96%', '-2.22%', '4.94%', '2.30%', '4.50%', '2.80%', '22.70%', '2.80%', '1.80%', '87.40%', '25.40M', '24.78M', '2.85%', '5.02', '41.50', '-9.82%', '100.81%', '140.67K', '9,869', '1.64%', '71.91%', '27.53%'],
[['ARCB'], '-', '1.87B', '137.70M', '3.39B', '35.10', '16.68', '0.32', '0.43%', '13000', '1.90', '14.39', '11.64', '0.62', '0.55', '2.10', '4.43', '8.95', '1.50', '1.50', '0.26', '0.19', '5.15%', '11.24%', '15.38%', '7.70%', '16.30%', '6.90%', '77.20%', '5.20%', '4.10%', '5.90%', '25.59M', '25.14M', '4.81%', '3.85', '86.78', '-23.49%', '152.02%', '313.76K', '53,157', '5.82%', '133.77%', '73.12%'],
[['ARI'], '-', '2.12B', '194.90M', '425.90M', '16.40', '1.47', '1.40', '9.20%', '-', '3.00', '11.46', '10.63', '163.73', '4.97', '0.93', '10.35', '76.97', '-', '-', '0.00', '2.42', '-1.83%', '-2.10%', '5.51%', '2.70%', '8.50%', '1.40%', '65.80%', '55.00%', '45.80%', '101.60%', '139.88M', '138.90M', '1.38%', '2.44', '15.67', '-11.63%', '79.93%', '784.71K', '165,833', '4.03%', '60.21%', '36.26%'],
[['ARLO'], '-', '533.38M', '-66.70M', '406.20M', '1.40', '2.22', '-', '-', '359', '2.40', '-', '-', '-', '1.31', '4.74', '2.98', '-', '1.30', '1.50', '0.00', '0.00', '2.92%', '3.87%', '-8.37%', '-18.00%', '-50.70%', '-78.80%', '24.10%', '-17.50%', '-16.40%', '-', '82.13M', '79.61M', '5.50%', '4.94', '9.75', '-39.13%', '47.46%', '887.09K', '147,055', '-17.95%', '17.14%', '-14.89%'],
[['ARNC'], '-', '3.61B', '-434.00M', '6.35B', '14.67', '4.82', '-', '-', '13400', '2.40', '-', '10.88', '-', '0.57', '2.20', '6.68', '-', '0.90', '1.60', '0.00', '0.99', '-7.37%', '-7.04%', '2.72%', '-6.80%', '-28.90%', '2.90%', '14.00%', '-5.70%', '-6.80%', '-', '110.00M', '108.71M', '4.49%', '6.52', '44.60', '-16.76%', '76.53%', '748.75K', '112,457', '18.33%', '52.08%', '8.09%'],
[['AROC'], '-', '1.19B', '35.40M', '796.00M', '6.01', '0.02', '0.58', '7.34%', '1250', '2.00', '33.91', '21.47', '-', '1.49', '1.31', '359.90', '8.48', '1.00', '1.50', '1.76', '1.76', '-0.41%', '-4.65%', '-16.00%', '1.30%', '3.80%', '1.00%', '56.30%', '17.00%', '4.40%', '248.30%', '152.03M', '133.26M', '2.35%', '3.99', '10.80', '-29.44%', '47.96%', '784.87K', '96,300', '-20.52%', '31.45%', '-8.78%'],
